sheet_name,country,city,kitchen_id,sku,name,product,mep_classification,suggested_units
Andes+Turbo,COL,,08 ANDES,318,Vinagreta de Pesto de Genoa,Vinagreta de Pesto de Genoa,,220.0
Andes+Turbo,COL,,08 ANDES,465,Mezcla Pancakes Avena Lista,Mezcla Pancakes Avena Lista,,900.0
Andes+Turbo,COL,,08 ANDES,4823,Hummus de Pimenton,Hummus de Pimenton,,400.0
Andes+Turbo,COL,,08 ANDES,4818,Brocoli Rostizado,Brocoli Rostizado,,300.0
Andes+Turbo,COL,,08 ANDES,5206,Coleslaw la cosmica,Coleslaw la cosmica,,300.0
Andes+Turbo,COL,,08 ANDES,316,Vinagreta Balsamica de Modena,Vinagreta Balsamica de Modena,,200.0
Andes+Turbo,COL,,08 ANDES,321,Vinagreta Mediterranea,Vinagreta Mediterranea,,300.0
Andes+Turbo,COL,,08 ANDES,1283,Cebolla Encurtida Picante,Cebolla Encurtida Picante,,300.0
Andes+Turbo,COL,,08 ANDES,4991,Mezcla Tostadas Francesas Nueva,Mezcla Tostadas Francesas Nueva,,300.0
Andes+Turbo,COL,,08 ANDES,275,Crutones Zatahar,Crutones Zatahar,,300.0
Andes+Turbo,COL,,08 ANDES,1240,Salsa Pizza,Salsa Pizza,,200.0
Andes+Turbo,COL,,08 ANDES,5517,Totopos triturados,Totopos triturados,,200.0
Andes+Turbo,COL,,08 ANDES,3609,Carne Smashed 80gr,Carne Smashed 80gr,,50.0
Andes+Turbo,COL,,08 ANDES,4918,Pollo Ensalada,Pollo Ensalada,,22.0
Andes+Turbo,COL,,08 ANDES,284,Galletas De Parmesano,Galletas De Parmesano,,21.0
Andes+Turbo,COL,,08 ANDES,3481,Galleta de Chunks de Chocolate PROD,Galleta de Chunks de Chocolate PROD,,6.0
Andes+Turbo,COL,,08 ANDES,3482,Galleta Oreo PROD,Galleta Oreo PROD,,3.0
Andes+Turbo,COL,,08 ANDES,3483,Galleta Red Velvet Choc Blanco PROD,Galleta Red Velvet Choc Blanco PROD,Madre,11.0
Andes+Turbo,COL,,08 ANDES,3484,Galleta Avena Frutos Rojos,Galleta Avena Frutos Rojos,,3.0
Andes+Turbo,COL,,08 ANDES,3485,Galleta Nueces Choc Blanco,Galleta Nueces Choc Blanco,,0.0
Andes+Turbo,COL,,08 ANDES,3486,Galleta Nutella y Nueces PROD,Galleta Nutella y Nueces PROD,,0.0
Andes+Turbo,COL,,08 ANDES,3488,Galleta Doble Chocolate PROD,Galleta Doble Chocolate PROD,,0.0
Andes+Turbo,COL,,08 ANDES,3623,Cubierta Queso Crema,Cubierta Queso Crema,Madre,0.0
Andes+Turbo,COL,,08 ANDES,3002,Mezcla de Aceite Y Mantequilla (Produccion),Mezcla de Aceite Y Mantequilla (Produccion),Madre,1600.0
Andes+Turbo,COL,,08 ANDES,3632,PROD Minibon de Canela,PROD Minibon de Canela,Madre,0.0
Andes+Turbo,COL,,08 ANDES,307,Salsa Frutos Rojos,Salsa Frutos Rojos,,300.0
Andes+Turbo,COL,,08 ANDES,713,⭕️Caja Lunch,⭕️Caja Lunch,Madre,32.0
Andes+Turbo,COL,,08 ANDES,3576,Flores dia de la Madre,Flores dia de la Madre,Madre,17.0
Andes+Turbo,COL,,08 ANDES,119,⚠️Aceite De Girasol,⚠️Aceite De Girasol,Madre,1500.0
Andes+Turbo,COL,,08 ANDES,172,Huevo Tipo AA,Huevo Tipo AA,Madre,260.0
Andes+Turbo,COL,,08 ANDES,550,⭕️Bolsa Pan Generica,⭕️Bolsa Pan Generica,Madre,37.0
Andes+Turbo,COL,,08 ANDES,237,Sal,Sal,Madre,1200.0
Andes+Turbo,COL,,08 ANDES,6078,Mezcla líquida pancakes de choclo,Mezcla líquida pancakes de choclo,Madre,400.0
Andes+Turbo,COL,,08 ANDES,432,Empaque Vinagreta,Empaque Vinagreta,Madre,57.0
Andes+Turbo,COL,,08 ANDES,604,Jugo de Naranja,Jugo de Naranja,Madre,72.0
Andes+Turbo,COL,,08 ANDES,5003,Porcion de fruta,Porcion de fruta,Madre,43.0
Andes+Turbo,COL,,08 ANDES,118,Croissant Huevo Jamon y Queso,Croissant Huevo Jamon y Queso,Madre,27.0
Andes+Turbo,COL,,08 ANDES,5045,Mini pancakes tradicionales SIN fresa,Mini pancakes tradicionales SIN fresa,Madre,22.0
Andes+Turbo,COL,,08 ANDES,2604,Caja Especial B&M,Caja Especial B&M,Madre,21.0
Andes+Turbo,COL,,08 ANDES,384,Tenedor Y Cuchillo,Tenedor Y Cuchillo,Madre,117.0
Andes+Turbo,COL,,08 ANDES,6273,Pancakes de choclo,Pancakes de choclo,Madre,3.0
Andes+Turbo,COL,,08 ANDES,5022,Minibon canela,Minibon canela,Madre,0.0
Andes+Turbo,COL,,08 ANDES,3799,Galleta Red Velvet Choc Blanco Individual Vicio,Galleta Red Velvet Choc Blanco Individual Vicio,Madre,7.0
Andes+Turbo,COL,,08 ANDES,3597,Flores 🌹,Flores 🌹,Madre,17.0
Andes+Turbo,COL,,08 ANDES,6343,COMBO INDIVIDUAL PANCAKES CHOCLO,COMBO INDIVIDUAL PANCAKES CHOCLO,Madre,2.0
Andes+Turbo,COL,,08 ANDES,6344,COMBO INDIVIDUAL MINIBON,COMBO INDIVIDUAL MINIBON,Madre,0.0
Andes+Turbo,COL,,08 ANDES,6345,COMBO INDIVIDUAL GALLETA,COMBO INDIVIDUAL GALLETA,Madre,7.0
Andes+Turbo,COL,,08 ANDES,6346,COMBO ESPECIAL CON FLORES,COMBO ESPECIAL CON FLORES,Madre,17.0
Andes+Turbo,COL,,08 ANDES,6348,COMBO ESPECIAL SIN FLORES,COMBO ESPECIAL SIN FLORES,Madre,4.0
