country,city,kitchen_id,meal_period,sku,description,category,consumption_place,unit,sum(quantity),avg(quantity)
COL,Medellín,14 ENVIGADO,Desayuno,179.0,Jugo de Mandarina Bolsa Lt ⭕️,DRINK,Kitchen,ML,7500.0,7500.0
COL,Cali,24 SAN FERNANDO,Almuerzo,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,7425.0,7425.0
COL,Bogotá,06 COLINA,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,7355.42602177138,7355.42602177138
COL,Cartagena,33 CARTAGENA,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,7248.8196,7248.8196
COL,Medellín,29 ITAGUI,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,7224.41280000001,7224.41280000001
COL,Bogotá,50 CHICO,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,7200.0,7200.0
COL,Bogotá,50 CHICO,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,7160.0,7160.0
COL,Bogotá,38 KENNEDY,Almuerzo,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,7140.0,7140.0
COL,Bogotá,65 CALLE 109,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,7132.31314377138,7132.31314377138
COL,Bogotá,13 CHIA,Almuerzo,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,7100.0,7100.0
COL,Bogotá,03 CHAPINERO,Cena,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,7050.0,7050.0
COL,Bogotá,06 COLINA,Almuerzo,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,7000.0,7000.0
COL,Medellín,14 ENVIGADO,Desayuno,209.0,Papa Sabanera,FRUITS,Kitchen,G,6977.145648,6977.145648
COL,Pereira,28 PEREIRA,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,6937.538341,6937.538341
COL,Bogotá,08 ANDES,Desayuno,179.0,Jugo de Mandarina Bolsa Lt ⭕️,DRINK,Kitchen,ML,6900.0,6900.0
COL,Bucaramanga,42 CABECERA,Desayuno,179.0,Jugo de Mandarina Bolsa Lt ⭕️,DRINK,Kitchen,ML,6900.0,6900.0
COL,Barranquilla,32 BARRANQUILLA,Desayuno,221.0,Pina Golden,FRUITS,Kitchen,G,6860.0,6860.0
COL,Bogotá,02 PARQUE 93,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,6850.1752,6850.1752
COL,Medellín,12 LAURELES,Desayuno,221.0,Pina Golden,FRUITS,Kitchen,G,6720.0,6720.0
COL,Medellín,12 LAURELES,Desayuno,210.0,Papaya Maradol,FRUITS,Kitchen,G,6720.0,6720.0
COL,Medellín,18 BELLO,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,6706.89473677138,6706.89473677138
COL,Bogotá,01 USAQUEN,Almuerzo,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,6675.0,6675.0
COL,Bogotá,13 CHIA,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,6654.9208,6654.9208
COL,Cali,46 INGENIO,Desayuno,246.0,Syrup 🏷️,GROCERY,Kitchen,G,6640.0,6640.0
COL,Bogotá,15 ENGATIVA,Almuerzo,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,6630.0,6630.0
COL,Pereira,28 PEREIRA,Desayuno,179.0,Jugo de Mandarina Bolsa Lt ⭕️,DRINK,Kitchen,ML,6600.0,6600.0
COL,Bogotá,38 KENNEDY,Almuerzo,5091.0,Limonada (con base limonada),PRODUCTION,Kitchen,ML,6600.0,6600.0
COL,Bogotá,69 ARRECIFE,Desayuno,180.0,Jugo de Naranja Bolsa Lt⭕️,DRINK,Kitchen,ML,6600.0,6600.0
